model,source_project,target_project,src_wpl_mrr,cpt_mrr,wps_mrr,wpl_mrr,delta_mrr,tgt_LoC,tgt_n_bugs,transfer
COOBA,numpy/numpy,localstack/localstack,0.09761428571428572,0.1577,0.0963,0.1768,0.06140000000000001,571611,472,positive
COOBA,localstack/localstack,numpy/numpy,0.1721,0.0567,0.0679,0.1047,-0.011200000000000002,276548,789,negative
COOBA,prefecthq/prefect,numpy/numpy,0.19458333333333333,0.0479,0.0465,0.1032,0.0013999999999999985,276548,789,neutral
COOBA,numpy/numpy,prefecthq/prefect,0.09761428571428572,0.1853,0.138,0.2102,0.04729999999999998,107073,404,positive
COOBA,prefecthq/prefect,mesonbuild/meson,0.19458333333333333,0.0801,0.1017,0.0956,-0.021599999999999994,121402,937,negative
COOBA,pydata/xarray,numpy/numpy,0.2573,0.0629,0.0512,0.0677,0.011699999999999995,276548,789,positive
COOBA,numpy/numpy,pydata/xarray,0.09761428571428572,0.2355,0.0916,0.2076,0.14389999999999997,142044,110,positive
COOBA,ipython/ipython,docker/compose,0.10186666666666666,0.3593,0.3891,0.4569,-0.029799999999999993,34586,572,negative
COOBA,docker/compose,ipython/ipython,0.4584333333333333,0.0497,0.0475,0.1103,0.0022000000000000006,77778,832,neutral
COOBA,wagtail/wagtail,docker/compose,0.07866666666666666,0.205,0.2792,0.4504,-0.07420000000000002,34586,572,negative
COOBA,ipython/ipython,qiskit/qiskit,0.10186666666666666,0.1159,0.1005,0.1327,0.015399999999999997,435173,1336,positive
COOBA,numpy/numpy,scikit-learn/scikit-learn,0.09761428571428572,0.0073,0.0281,0.0211,-0.0208,376169,228,negative
COOBA,scikit-learn/scikit-learn,numpy/numpy,0.0294,0.0695,0.0787,0.1045,-0.0092,276548,789,neutral
TRANP-CNN,jupyterlab/jupyterlab,lightning-ai/lightning,0.3408166666666667,0.4305,0.3107,0.4475,0.11980000000000002,51387,366,positive
TRANP-CNN,lightning-ai/lightning,jupyterlab/jupyterlab,0.4111142857142857,0.3508,0.2672,0.3273,0.08360000000000001,39372,197,positive
TRANP-CNN,jupyterlab/jupyterlab,numpy/numpy,0.3408166666666667,0.0982,0.0989,0.1161,-0.0007000000000000062,276548,789,neutral
TRANP-CNN,numpy/numpy,jupyterlab/jupyterlab,0.10137142857142857,0.3375,0.3136,0.3273,0.023900000000000032,39372,197,positive
TRANP-CNN,jupyterlab/jupyterlab,mesonbuild/meson,0.3408166666666667,0.0953,0.117,0.1129,-0.02170000000000001,121402,937,negative
TRANP-CNN,mesonbuild/meson,jupyterlab/jupyterlab,0.10953333333333333,0.3385,0.2149,0.3392,0.12360000000000002,39372,197,positive
TRANP-CNN,jupyterlab/jupyterlab,localstack/localstack,0.3408166666666667,0.1257,0.1312,0.1565,-0.005500000000000005,571611,472,neutral
TRANP-CNN,jupyterlab/jupyterlab,prefecthq/prefect,0.3408166666666667,0.1622,0.1874,0.1811,-0.0252,107073,404,negative
TRANP-CNN,jupyterlab/jupyterlab,pydata/xarray,0.3408166666666667,0.2014,0.1496,0.3501,0.051799999999999985,142044,110,positive
TRANP-CNN,prefecthq/prefect,jupyterlab/jupyterlab,0.19761666666666666,0.3708,0.2288,0.2869,0.14200000000000002,39372,197,positive
TRANP-CNN,pydata/xarray,jupyterlab/jupyterlab,0.2888,0.3833,0.3054,0.3869,0.07789999999999997,39372,197,positive
TRANP-CNN,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.3408166666666667,0.0954,0.0065,0.039,0.08889999999999999,376169,228,positive
TRANP-CNN,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.07968,0.3458,0.3619,0.3542,-0.016100000000000003,39372,197,negative
TRANP-CNN,jupyterlab/jupyterlab,ipython/ipython,0.3408166666666667,0.0856,0.0558,0.0836,0.029799999999999993,77778,832,positive
TRANP-CNN,jupyterlab/jupyterlab,docker/compose,0.3408166666666667,0.4774,0.47,0.459,0.007400000000000018,34586,572,neutral
TRANP-CNN,ipython/ipython,jupyterlab/jupyterlab,0.0937,0.376,0.2961,0.3458,0.07990000000000003,39372,197,positive
TRANP-CNN,docker/compose,jupyterlab/jupyterlab,0.45483333333333337,0.3525,0.3161,0.3036,0.03639999999999999,39372,197,positive
TRANP-CNN,jupyterlab/jupyterlab,wagtail/wagtail,0.3408166666666667,0.0649,0.0541,0.0796,0.010799999999999997,285999,404,positive
TRANP-CNN,jupyterlab/jupyterlab,ansible/ansible,0.3408166666666667,0.0126,0.0121,0.0203,0.0005000000000000004,348229,768,neutral
TRANP-CNN,wagtail/wagtail,jupyterlab/jupyterlab,0.07523333333333333,0.3154,0.2321,0.3321,0.08330000000000001,39372,197,positive
TRANP-CNN,lightning-ai/lightning,prefecthq/prefect,0.4111142857142857,0.1775,0.2089,0.1934,-0.03140000000000001,107073,404,negative
TRANP-CNN,prefecthq/prefect,lightning-ai/lightning,0.19761666666666666,0.3665,0.3441,0.3994,0.022399999999999975,51387,366,positive
TRANP-CNN,ansible/ansible,jupyterlab/jupyterlab,0.017766666666666667,0.4,0.3269,0.3802,0.0731,39372,197,positive
TRANP-CNN,localstack/localstack,jupyterlab/jupyterlab,0.1517,0.3511,0.3303,0.3492,0.02080000000000004,39372,197,positive
TRANP-CNN,lightning-ai/lightning,pydata/xarray,0.4111142857142857,0.2429,0.1972,0.2357,0.04570000000000002,142044,110,positive
TRANP-CNN,lightning-ai/lightning,scikit-learn/scikit-learn,0.4111142857142857,0.0968,0.0379,0.0855,0.058899999999999994,376169,228,positive
TRANP-CNN,pydata/xarray,lightning-ai/lightning,0.2888,0.4183,0.3943,0.4061,0.02400000000000002,51387,366,positive
TRANP-CNN,jupyterlab/jupyterlab,qiskit/qiskit,0.3408166666666667,0.1356,0.1405,0.1016,-0.0049000000000000155,435173,1336,neutral
TRANP-CNN,scikit-learn/scikit-learn,lightning-ai/lightning,0.07968,0.4241,0.3365,0.3622,0.08759999999999996,51387,366,positive
TRANP-CNN,lightning-ai/lightning,ipython/ipython,0.4111142857142857,0.0733,0.095,0.106,-0.021699999999999997,77778,832,negative
TRANP-CNN,lightning-ai/lightning,ansible/ansible,0.4111142857142857,0.0083,0.0158,0.0173,-0.0075000000000000015,348229,768,neutral
TRANP-CNN,prefecthq/prefect,scikit-learn/scikit-learn,0.19761666666666666,0.1019,0.0583,0.0896,0.04360000000000001,376169,228,positive
TRANP-CNN,scikit-learn/scikit-learn,prefecthq/prefect,0.07968,0.1771,0.1682,0.1897,0.008900000000000019,107073,404,neutral
TRANP-CNN,ansible/ansible,lightning-ai/lightning,0.017766666666666667,0.4244,0.3541,0.409,0.07029999999999997,51387,366,positive
TRANP-CNN,lightning-ai/lightning,wagtail/wagtail,0.4111142857142857,0.0648,0.0678,0.0763,-0.0030000000000000027,285999,404,neutral
TRANP-CNN,qiskit/qiskit,jupyterlab/jupyterlab,0.11816666666666668,0.3918,0.3058,0.3571,0.08599999999999997,39372,197,positive
TRANP-CNN,prefecthq/prefect,ansible/ansible,0.19761666666666666,0.004,0.0115,0.0157,-0.0075,348229,768,neutral
TRANP-CNN,lightning-ai/lightning,numpy/numpy,0.4111142857142857,0.1147,0.0828,0.1014,0.0319,276548,789,positive
TRANP-CNN,prefecthq/prefect,numpy/numpy,0.19761666666666666,0.0878,0.0851,0.1188,0.002700000000000008,276548,789,neutral
TRANP-CNN,ansible/ansible,prefecthq/prefect,0.017766666666666667,0.1335,0.1814,0.2322,-0.0479,107073,404,negative
TRANP-CNN,numpy/numpy,lightning-ai/lightning,0.10137142857142857,0.3906,0.3864,0.44,0.0041999999999999815,51387,366,neutral
TRANP-CNN,lightning-ai/lightning,localstack/localstack,0.4111142857142857,0.1474,0.114,0.137,0.0334,571611,472,positive
TRANP-CNN,numpy/numpy,prefecthq/prefect,0.10137142857142857,0.136,0.1429,0.2059,-0.0068999999999999895,107073,404,neutral
TRANP-CNN,prefecthq/prefect,wagtail/wagtail,0.19761666666666666,0.0653,0.0318,0.0698,0.033499999999999995,285999,404,positive
TRANP-CNN,pydata/xarray,scikit-learn/scikit-learn,0.2888,0.1036,0.0424,0.077,0.0612,376169,228,positive
TRANP-CNN,localstack/localstack,lightning-ai/lightning,0.1517,0.3467,0.3769,0.4136,-0.030200000000000005,51387,366,negative
TRANP-CNN,scikit-learn/scikit-learn,pydata/xarray,0.07968,0.2621,0.139,0.3446,0.12309999999999999,142044,110,positive
TRANP-CNN,prefecthq/prefect,mesonbuild/meson,0.19761666666666666,0.11,0.1183,0.1106,-0.008300000000000002,121402,937,neutral
TRANP-CNN,prefecthq/prefect,pydata/xarray,0.19761666666666666,0.1606,0.1223,0.2838,0.03829999999999999,142044,110,positive
TRANP-CNN,pydata/xarray,prefecthq/prefect,0.2888,0.1839,0.133,0.1834,0.0509,107073,404,positive
TRANP-CNN,pydata/xarray,numpy/numpy,0.2888,0.1031,0.0881,0.1024,0.015,276548,789,positive
TRANP-CNN,numpy/numpy,qiskit/qiskit,0.10137142857142857,0.1436,0.1228,0.1264,0.0208,435173,1336,positive
TRANP-CNN,numpy/numpy,pydata/xarray,0.10137142857142857,0.3505,0.2294,0.2298,0.12109999999999999,142044,110,positive
TRANP-CNN,numpy/numpy,mesonbuild/meson,0.10137142857142857,0.1186,0.1083,0.1051,0.010300000000000004,121402,937,positive
TRANP-CNN,numpy/numpy,scikit-learn/scikit-learn,0.10137142857142857,0.0735,0.0594,0.1073,0.014099999999999994,376169,228,positive
TRANP-CNN,qiskit/qiskit,numpy/numpy,0.11816666666666668,0.1011,0.1034,0.0957,-0.0023000000000000104,276548,789,neutral
TRANP-CNN,numpy/numpy,localstack/localstack,0.10137142857142857,0.1253,0.1359,0.1616,-0.010599999999999998,571611,472,negative
TRANP-CNN,wagtail/wagtail,docker/compose,0.07523333333333333,0.4567,0.4704,0.4515,-0.01369999999999999,34586,572,negative
TRANP-CNN,localstack/localstack,numpy/numpy,0.1517,0.0832,0.0895,0.1069,-0.0063,276548,789,neutral
TRANP-CNN,ipython/ipython,docker/compose,0.0937,0.4657,0.4805,0.454,-0.01479999999999998,34586,572,negative
TRANP-CNN,docker/compose,ipython/ipython,0.45483333333333337,0.0913,0.0645,0.0915,0.026800000000000004,77778,832,positive
TRANP-CNN,ipython/ipython,qiskit/qiskit,0.0937,0.1297,0.1217,0.1265,0.008000000000000007,435173,1336,neutral
TRANP-CNN,scikit-learn/scikit-learn,numpy/numpy,0.07968,0.1013,0.0936,0.0683,0.0076999999999999985,276548,789,neutral
